"Year","Lake","Host.Species","AUC.density","Log.AUC.density"
"2014","Mill","ceriodaphnia",5020449.85,15.4290300992068
"2014","Mill","dentifera",24964682.6,17.0329726880367
"2014","Mill","retrocurva",60701622.2,17.9214809805491
"2014","Mill","pulicaria",0,-Inf
"2014","Mill","dubia",0,-Inf
"2014","Mill","parvula",5743604.8,15.5635975851148
"2014","Mill","ambigua",0,-Inf
"2014","Mill","mendotae",0,-Inf
"2014","Walsh","ceriodaphnia",5694383.65,15.554990922492
"2014","Walsh","dentifera",99148192.1,18.4121261787749
"2014","Walsh","pulicaria",0,-Inf
"2014","Walsh","retrocurva",176687,12.082135084577
"2014","Walsh","dubia",0,-Inf
"2014","Walsh","parvula",1501214.2,14.2217848052977
"2014","Walsh","ambigua",0,-Inf
"2014","Walsh","mendotae",0,-Inf
"2014","Cedar","ceriodaphnia",1109086.1,13.9190469008301
"2014","Cedar","dentifera",69765056.5,18.0606438191698
"2014","Cedar","dubia",1290140.9,14.0702619951795
"2014","Cedar","pulicaria",1240667.7,14.0311602604014
"2014","Cedar","retrocurva",33767960,17.3350229818903
"2014","Cedar","parvula",0,-Inf
"2014","Cedar","ambigua",0,-Inf
"2014","Cedar","mendotae",0,-Inf
"2014","CrookedW","ceriodaphnia",592597.5,13.2922706954154
"2014","CrookedW","dentifera",53016979.25,17.7861227834186
"2014","CrookedW","dubia",14073033.55,16.4597710099736
"2014","CrookedW","retrocurva",33652341.55,17.3315931970724
"2014","CrookedW","pulicaria",0,-Inf
"2014","CrookedW","parvula",0,-Inf
"2014","CrookedW","ambigua",0,-Inf
"2014","CrookedW","mendotae",0,-Inf
"2014","Appleton","dentifera",22201037.5,16.9156495799847
"2014","Appleton","dubia",2560454.5,14.7556953397601
"2014","Appleton","pulicaria",28913015.85,17.1798024271266
"2014","Appleton","retrocurva",10000007.1,16.1180963609581
"2014","Appleton","ceriodaphnia",27765.1,10.231535115326
"2014","Appleton","parvula",0,-Inf
"2014","Appleton","ambigua",0,-Inf
"2014","Appleton","mendotae",0,-Inf
"2014","Bishop","ambigua",455374.1,13.0288745579158
"2014","Bishop","dentifera",28447954.95,17.1635868337034
"2014","Bishop","dubia",8909458.4,16.0026240119654
"2014","Bishop","pulicaria",469562.6,13.0595569020757
"2014","Bishop","retrocurva",60090624,17.9113643806796
"2014","Bishop","ceriodaphnia",7680721.7,15.854224072063
"2014","Bishop","parvula",0,-Inf
"2014","Bishop","mendotae",0,-Inf
"2014","LittleAppleton","ceriodaphnia",28271893.4,17.1573787030195
"2014","LittleAppleton","dentifera",254289918.4,19.3539855850921
"2014","LittleAppleton","pulicaria",54899.9,10.9132668060023
"2014","LittleAppleton","retrocurva",268187.3,12.4994408959867
"2014","LittleAppleton","dubia",82664.9,11.3225503652829
"2014","LittleAppleton","parvula",1777601.9,14.3907757667238
"2014","LittleAppleton","ambigua",111060.4,11.6178294764459
"2014","LittleAppleton","mendotae",0,-Inf
"2014","Whitmore","pulicaria",12300249.35,16.3251300924949
"2014","Whitmore","retrocurva",49019752.65,17.7077338901519
"2014","Whitmore","dentifera",2783971.95,14.8393892249547
"2014","Whitmore","ceriodaphnia",691766.65,13.4470039667487
"2014","Whitmore","dubia",0,-Inf
"2014","Whitmore","parvula",0,-Inf
"2014","Whitmore","ambigua",0,-Inf
"2014","Whitmore","mendotae",610818.5,13.3225551400146
"2014","Woodland","ambigua",265097.25,12.4878520187793
"2014","Woodland","ceriodaphnia",27285657.1,17.1218717411419
"2014","Woodland","dentifera",2000808.35,14.5090618318675
"2014","Woodland","dubia",0,-Inf
"2014","Woodland","pulicaria",59985,11.001849809949
"2014","Woodland","retrocurva",47415625.9,17.6744623926768
"2014","Woodland","parvula",1219059.85,14.0135905048792
"2014","Woodland","mendotae",253485,12.443059928665
"2014","Bruin","dentifera",11565775.05,16.2635608682634
"2014","Bruin","dubia",13849145.6,16.4437340991641
"2014","Bruin","pulicaria",8937550,16.0057720603743
"2014","Bruin","retrocurva",17692413.8,16.6886465067993
"2014","Bruin","ceriodaphnia",136301.4,11.8226238890919
"2014","Bruin","parvula",0,-Inf
"2014","Bruin","ambigua",0,-Inf
"2014","Bruin","mendotae",0,-Inf
"2014","CrookedP","ceriodaphnia",22229848.65,16.9169464775501
"2014","CrookedP","dentifera",67268242,18.0241987961684
"2014","CrookedP","retrocurva",10332080.95,16.1507642680491
"2014","CrookedP","pulicaria",181891.45,12.1111653595532
"2014","CrookedP","dubia",36120,10.4946020075309
"2014","CrookedP","parvula",44386680.75,17.6084499992904
"2014","CrookedP","ambigua",51277.5,10.8450073384561
"2014","CrookedP","mendotae",0,-Inf
"2014","North","ambigua",220268.6,12.302602989722
"2014","North","ceriodaphnia",1710230.7,14.3521388316597
"2014","North","dentifera",67295977.6,18.0246110246267
"2014","North","pulicaria",364749.9,12.8069671922246
"2014","North","retrocurva",125927921.75,18.6512202516298
"2014","North","dubia",0,-Inf
"2014","North","parvula",502457.75,13.1272668357785
"2014","North","mendotae",0,-Inf
"2014","Pickerel","ceriodaphnia",1630573.5,14.3044423513924
"2014","Pickerel","dentifera",50212367.75,17.7317719238399
"2014","Pickerel","dubia",1360961.55,14.1237020299487
"2014","Pickerel","pulicaria",35712007.85,17.3909975445372
"2014","Pickerel","retrocurva",12785940.55,16.3638567306812
"2014","Pickerel","parvula",27090,10.2069199350791
"2014","Pickerel","ambigua",0,-Inf
"2014","Pickerel","mendotae",0,-Inf
"2014","Gosling","ceriodaphnia",49805098.75,17.7236279212921
"2014","Gosling","dentifera",107898259.05,18.4966992952511
"2014","Gosling","pulicaria",0,-Inf
"2014","Gosling","retrocurva",41647.65,10.6370002234341
"2014","Gosling","dubia",0,-Inf
"2014","Gosling","parvula",11205388.85,16.2319053678725
"2014","Gosling","ambigua",133575.2,11.802419894111
"2014","Gosling","mendotae",0,-Inf
"2014","Sullivan","ceriodaphnia",7514078.25,15.8322889189559
"2014","Sullivan","dentifera",110041607.1,18.5163690986032
"2014","Sullivan","pulicaria",1389963.05,14.1447877220197
"2014","Sullivan","retrocurva",0,-Inf
"2014","Sullivan","dubia",0,-Inf
"2014","Sullivan","parvula",0,-Inf
"2014","Sullivan","ambigua",0,-Inf
"2014","Sullivan","mendotae",0,-Inf
"2015","Walsh","ambigua",64500,11.0744205027839
"2015","Walsh","ceriodaphnia",701765.95,13.4613552228579
"2015","Walsh","dentifera",58227848.15,17.8798742888114
"2015","Walsh","parvula",499234.4,13.1208310039196
"2015","Walsh","retrocurva",1842134.6,14.4264355658747
"2015","Walsh","pulicaria",0,-Inf
"2015","Walsh","dubia",0,-Inf
"2015","Walsh","mendotae",0,-Inf
"2015","Mill","ambigua",2674193.1,14.7991582479485
"2015","Mill","ceriodaphnia",2199467.3,14.6037257526452
"2015","Mill","dentifera",9232219.4,16.0382100326123
"2015","Mill","parvula",17436426.9,16.6740720758673
"2015","Mill","retrocurva",58397484.95,17.8827833809464
"2015","Mill","pulicaria",0,-Inf
"2015","Mill","dubia",0,-Inf
"2015","Mill","mendotae",0,-Inf
"2015","CrookedP","ambigua",254775.7,12.4481388292154
"2015","CrookedP","ceriodaphnia",24774651.6,17.0253315755184
"2015","CrookedP","dentifera",20963315.4,16.8582845823893
"2015","CrookedP","parvula",17251311.2,16.6633987101471
"2015","CrookedP","retrocurva",1670240.15,14.3284779764496
"2015","CrookedP","pulicaria",0,-Inf
"2015","CrookedP","dubia",36120,10.4946020075309
"2015","CrookedP","mendotae",0,-Inf
"2015","North","ceriodaphnia",1946211.05,14.4813949890849
"2015","North","dentifera",41566718.05,17.5428103581482
"2015","North","parvula",1668312.85,14.3273234042657
"2015","North","pulicaria",528717.45,13.178209447164
"2015","North","retrocurva",47987099.15,17.6864427650393
"2015","North","dubia",128264.1,11.7618466985104
"2015","North","ambigua",214601.7,12.2765390308622
"2015","North","mendotae",0,-Inf
"2015","Bruin","ceriodaphnia",6772.5,8.82062557395925
"2015","Bruin","dentifera",5591316.9,15.5367253987817
"2015","Bruin","dubia",6311551.25,15.6578920442403
"2015","Bruin","pulicaria",10957524.95,16.2095369882517
"2015","Bruin","retrocurva",10469723.85,16.1639982071407
"2015","Bruin","parvula",0,-Inf
"2015","Bruin","ambigua",0,-Inf
"2015","Bruin","mendotae",0,-Inf
"2015","Cedar","ceriodaphnia",166411.45,12.0222186150981
"2015","Cedar","dentifera",33808270.7,17.3362160257865
"2015","Cedar","dubia",786647.6,13.5755356507518
"2015","Cedar","pulicaria",1399597.55,14.151695288974
"2015","Cedar","retrocurva",12835788.5,16.3677478039805
"2015","Cedar","parvula",0,-Inf
"2015","Cedar","ambigua",0,-Inf
"2015","Cedar","mendotae",0,-Inf
"2015","CrookedW","ceriodaphnia",1407527.7,14.1573453190865
"2015","CrookedW","dentifera",9332583.05,16.0490223887401
"2015","CrookedW","dubia",3227605.45,14.9872510735162
"2015","CrookedW","pulicaria",0,-Inf
"2015","CrookedW","retrocurva",29745705.35,17.2081953215521
"2015","CrookedW","parvula",0,-Inf
"2015","CrookedW","ambigua",0,-Inf
"2015","CrookedW","mendotae",0,-Inf
"2015","Bishop","ambigua",142545,11.8674130183135
"2015","Bishop","dentifera",13138113.35,16.3910279800423
"2015","Bishop","dubia",1559880.7,14.2601199019424
"2015","Bishop","pulicaria",178021.3,12.0896584850365
"2015","Bishop","retrocurva",42864470.2,17.5735538402846
"2015","Bishop","ceriodaphnia",394742.2,12.8859881725813
"2015","Bishop","parvula",0,-Inf
"2015","Bishop","mendotae",0,-Inf
"2015","LittleAppleton","ceriodaphnia",9745382.45,16.0923041359208
"2015","LittleAppleton","dentifera",161553817.1,18.9003488779346
"2015","LittleAppleton","dubia",420865.3,12.9500681089747
"2015","LittleAppleton","parvula",1161655.3,13.9653565286688
"2015","LittleAppleton","pulicaria",434411.6,12.9817477507444
"2015","LittleAppleton","retrocurva",486010.3,13.0939850960737
"2015","LittleAppleton","ambigua",108361.4,11.5932272160122
"2015","LittleAppleton","mendotae",0,-Inf
"2015","Appleton","dentifera",5039426.25,15.4328027942817
"2015","Appleton","dubia",7253728.75,15.7970262049634
"2015","Appleton","pulicaria",18094975.9,16.7111448831195
"2015","Appleton","retrocurva",9481835.75,16.0648884999993
"2015","Appleton","ceriodaphnia",70950,11.1697306825882
"2015","Appleton","parvula",0,-Inf
"2015","Appleton","ambigua",0,-Inf
"2015","Appleton","mendotae",0,-Inf
"2015","Gosling","ambigua",869208.25,13.6753380188058
"2015","Gosling","ceriodaphnia",90298797.3,18.3186346993616
"2015","Gosling","dentifera",30083688.5,17.2194936725336
"2015","Gosling","parvula",8316310.05,15.9337292108148
"2015","Gosling","pulicaria",0,-Inf
"2015","Gosling","retrocurva",34830,10.45823436336
"2015","Gosling","dubia",0,-Inf
"2015","Gosling","mendotae",0,-Inf
"2015","Sullivan","ceriodaphnia",793033.2,13.583620366071
"2015","Sullivan","dentifera",39791664.15,17.499168004851
"2015","Sullivan","pulicaria",2627751.15,14.7816389623223
"2015","Sullivan","retrocurva",0,-Inf
"2015","Sullivan","dubia",0,-Inf
"2015","Sullivan","parvula",0,-Inf
"2015","Sullivan","ambigua",0,-Inf
"2015","Sullivan","mendotae",0,-Inf
"2015","Pickerel","ceriodaphnia",6068854.9,15.6186804961453
"2015","Pickerel","dentifera",19394340.6,16.780491859825
"2015","Pickerel","parvula",36120,10.4946020075309
"2015","Pickerel","pulicaria",8895910.9,16.0011022796849
"2015","Pickerel","retrocurva",10402644.35,16.157570596215
"2015","Pickerel","dubia",0,-Inf
"2015","Pickerel","ambigua",0,-Inf
"2015","Pickerel","mendotae",0,-Inf
"2015","Woodland","ambigua",51600,10.8512769514697
"2015","Woodland","ceriodaphnia",90882529.65,18.3250783476069
"2015","Woodland","dentifera",1105539.25,13.9158437829461
"2015","Woodland","mendotae",745109.7,13.5212867348439
"2015","Woodland","parvula",5055810.6,15.4360487536641
"2015","Woodland","pulicaria",0,-Inf
"2015","Woodland","retrocurva",32590180.35,17.2995215847045
"2015","Woodland","dubia",0,-Inf
"2015","Whitmore","ceriodaphnia",949447,13.7636349888245
"2015","Whitmore","dentifera",433443.4,12.9795165015111
"2015","Whitmore","mendotae",517294.85,13.1563683004037
"2015","Whitmore","pulicaria",8646617.6,15.9726787735346
"2015","Whitmore","retrocurva",22829314.15,16.9435559764428
"2015","Whitmore","dubia",0,-Inf
"2015","Whitmore","parvula",0,-Inf
"2015","Whitmore","ambigua",0,-Inf
"2016","Bishop","ambigua",73530,11.2054487651903
"2016","Bishop","dentifera",34894782.65,17.3678478817279
"2016","Bishop","dubia",8819156.75,15.9924368168364
"2016","Bishop","pulicaria",664355.2,13.4065722251883
"2016","Bishop","retrocurva",39072481.2,17.4809289715415
"2016","Bishop","ceriodaphnia",8559865,15.9625949769655
"2016","Bishop","parvula",1421591.5,14.1672875766263
"2016","Bishop","mendotae",0,-Inf
"2016","Appleton","ambigua",109005,11.5991490317188
"2016","Appleton","dentifera",10091492.55,16.127203305077
"2016","Appleton","dubia",7427235.1,15.8206642209236
"2016","Appleton","pulicaria",9104505.95,16.0242800082768
"2016","Appleton","retrocurva",31322102.65,17.2598345612524
"2016","Appleton","ceriodaphnia",130290,11.777518014197
"2016","Appleton","parvula",147060,11.8985959457502
"2016","Appleton","mendotae",0,-Inf
"2016","LittleAppleton","ceriodaphnia",8815932.05,15.992071102768
"2016","LittleAppleton","dentifera",63380471.85,17.9646663569769
"2016","LittleAppleton","dubia",38700,10.5635948790179
"2016","LittleAppleton","parvula",37491.3,10.5318641850423
"2016","LittleAppleton","pulicaria",61920.8,11.0336114280768
"2016","LittleAppleton","retrocurva",291461.45,12.582663029029
"2016","LittleAppleton","ambigua",0,-Inf
"2016","LittleAppleton","mendotae",0,-Inf
"2016","Mill","ambigua",73852.5,11.2098251397901
"2016","Mill","ceriodaphnia",1001175.65,13.816685517429
"2016","Mill","dentifera",10604659.05,16.1768039955348
"2016","Mill","parvula",457114.8,13.0326898418311
"2016","Mill","pulicaria",36120,10.4946020075309
"2016","Mill","retrocurva",43282433.3,17.5832574131957
"2016","Mill","dubia",0,-Inf
"2016","Mill","mendotae",0,-Inf
"2016","Walsh","ceriodaphnia",1348221.6,14.114296948635
"2016","Walsh","dentifera",70514875.35,18.0713342433979
"2016","Walsh","parvula",0,-Inf
"2016","Walsh","pulicaria",0,-Inf
"2016","Walsh","retrocurva",102555,11.538154519016
"2016","Walsh","dubia",0,-Inf
"2016","Walsh","ambigua",0,-Inf
"2016","Walsh","mendotae",0,-Inf
"2016","CrookedP","ambigua",0,-Inf
"2016","CrookedP","ceriodaphnia",4853665.4,15.3952447300538
"2016","CrookedP","dentifera",44135127.15,17.6027665573658
"2016","CrookedP","dubia",64500,11.0744205027839
"2016","CrookedP","parvula",6916069,15.7493581026008
"2016","CrookedP","pulicaria",859147.65,13.6636960721096
"2016","CrookedP","retrocurva",10525584,16.1693194229292
"2016","CrookedP","mendotae",0,-Inf
"2016","Bruin","dentifera",10470692.4,16.1640907124653
"2016","Bruin","dubia",19879061.95,16.8051775724657
"2016","Bruin","pulicaria",13821172.3,16.4417121990449
"2016","Bruin","retrocurva",15175491.75,16.5351922996566
"2016","Bruin","ceriodaphnia",0,-Inf
"2016","Bruin","parvula",0,-Inf
"2016","Bruin","ambigua",0,-Inf
"2016","Bruin","mendotae",0,-Inf
"2016","Cedar","ceriodaphnia",168991.45,12.0376034009094
"2016","Cedar","dentifera",25647989.95,17.059975761988
"2016","Cedar","dubia",792711.65,13.5832148153238
"2016","Cedar","retrocurva",23047003.85,16.9530463341426
"2016","Cedar","pulicaria",0,-Inf
"2016","Cedar","parvula",0,-Inf
"2016","Cedar","ambigua",0,-Inf
"2016","Cedar","mendotae",0,-Inf
"2016","CrookedW","dentifera",3840231.85,15.1610433003454
"2016","CrookedW","dubia",2023122.7,14.5201527668069
"2016","CrookedW","retrocurva",13870195.15,16.4452528621271
"2016","CrookedW","pulicaria",0,-Inf
"2016","CrookedW","ceriodaphnia",6405868.75,15.6727251203369
"2016","CrookedW","parvula",0,-Inf
"2016","CrookedW","ambigua",0,-Inf
"2016","CrookedW","mendotae",0,-Inf
"2016","Gosling","ambigua",541859.25,13.2027615603506
"2016","Gosling","ceriodaphnia",117490285.35,18.5818662102581
"2016","Gosling","dentifera",25311940.8,17.0467868107352
"2016","Gosling","parvula",5463738.45,15.5136438112247
"2016","Gosling","pulicaria",124227.6,11.729870646016
"2016","Gosling","retrocurva",65099.1,11.0836660032163
"2016","Gosling","dubia",0,-Inf
"2016","Gosling","mendotae",0,-Inf
"2016","Pickerel","ceriodaphnia",796259.1,13.5876799143746
"2016","Pickerel","dentifera",22421027.7,16.9255098130948
"2016","Pickerel","pulicaria",16093913.25,16.5939516994662
"2016","Pickerel","retrocurva",8320955.1,15.9342876018819
"2016","Pickerel","dubia",19350,9.87044769845793
"2016","Pickerel","parvula",0,-Inf
"2016","Pickerel","ambigua",0,-Inf
"2016","Pickerel","mendotae",0,-Inf
"2016","North","ceriodaphnia",1972942.35,14.4950365651151
"2016","North","dentifera",62466177,17.9501358002224
"2016","North","pulicaria",4100685.45,15.2266647006279
"2016","North","retrocurva",28757623.05,17.1744134396269
"2016","North","dubia",11610,9.35962207469194
"2016","North","parvula",77400.3,11.2567459355393
"2016","North","ambigua",11610,9.35962207469194
"2016","North","mendotae",0,-Inf
"2016","Sullivan","dentifera",58228493.7,17.8798853753695
"2016","Sullivan","pulicaria",736466.55,13.5096190963381
"2016","Sullivan","retrocurva",11610,9.35962207469194
"2016","Sullivan","ceriodaphnia",612625.5,13.3255090983715
"2016","Sullivan","dubia",0,-Inf
"2016","Sullivan","parvula",0,-Inf
"2016","Sullivan","ambigua",11610,9.35962207469194
"2016","Sullivan","mendotae",0,-Inf
"2016","Woodland","ambigua",141900.7,11.8628827961874
"2016","Woodland","ceriodaphnia",5925341.2,15.5947488298253
"2016","Woodland","dentifera",3643311.9,15.1084036885762
"2016","Woodland","parvula",0,-Inf
"2016","Woodland","pulicaria",192211.35,12.1663508268445
"2016","Woodland","retrocurva",29180038.25,17.1889954118874
"2016","Woodland","dubia",182858.85,12.1164698227344
"2016","Woodland","mendotae",143190.75,11.8719329364503
"2016","Whitmore","ambigua",162541.4,11.9986880175345
"2016","Whitmore","ceriodaphnia",4725310.45,15.3684438204553
"2016","Whitmore","dentifera",116100.7,11.6622131969529
"2016","Whitmore","mendotae",265096.45,12.4878490010143
"2016","Whitmore","parvula",0,-Inf
"2016","Whitmore","pulicaria",13394178.95,16.4103307638228
"2016","Whitmore","retrocurva",30700957.45,17.2398043993675
"2016","Whitmore","dubia",0,-Inf
